Red	Green	Blue
199	135	101
159	151	140
79	76	69
128	78	53
4	3	3
110	23	12
186	183	173
132	68	22
22	21	20
232	227	218
17	4	2
147	96	63
210	177	149
46	35	29
19	20	4
6	8	6
105	70	39
70	47	30
139	156	167
128	106	81
72	15	8
130	124	115
95	207	199
34	154	142
226	198	170
17	14	14
59	74	70
56	37	23
58	44	34
244	226	188
91	87	80
164	137	111
221	169	118
181	161	80
85	34	32
215	212	204
19	31	46
50	23	8
85	57	36
111	49	44
7	67	125
98	53	16
31	19	14
29	32	7
156	126	53
72	37	13
73	89	87
236	190	69
124	100	48
23	16	15
172	85	24
92	108	105
17	83	71
144	137	128
69	66	60
62	69	27
103	78	56
217	124	35
36	24	18
36	37	36
40	51	60
247	246	240
55	23	23
164	118	81
25	114	103
57	60	54
113	90	70
27	5	4
5	38	84
116	112	104
47	10	6
11	8	6
83	99	46
121	143	77
43	30	19
105	99	90
44	43	40
143	119	98
26	25	24
87	66	50
70	54	44
112	134	137
43	48	12
178	221	227
13	12	10
160	181	197
240	212	141
187	157	128
30	13	8
15	59	45
189	100	72
162	32	25
199	198	189
8	39	31
7	20	24
20	12	9
52	50	46
173	167	157
33	30	28
37	5	4
